Card Name,Set,Set Code,Scryfall ID,Card Number,Rarity,Quantity,Foil Treatment,Condition,Promo Type,Artwork Variant,Border Treatment,Card Size,Language,Edition,Signed,Original Printing,Stamp,Serialized Number,Is Token,Is Emblem,Is Other
Sol Ring,Commander 2021,C21,,1.0,Uncommon,2,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Demonic Tutor,Ultimate Masters,UMA,,77.0,Rare,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Counterspell,Commander 2013,C13,,,Common,4,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Lightning Bolt,Magic 2010,M10,,,Common,3,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Wrath Of God,Core Set 2021,M21,,,Rare,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Path To Exile,Modern Masters 2015,MM2,,,Uncommon,2,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Snapcaster Mage,Innistrad,ISD,,,Rare,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Tarmogoyf,Modern Masters 2017,MM3,,,Mythic Rare,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Test Card,Test Set,,,,,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Cabal Ritual,TORMENT,,,,,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Rhystic Study,prophecy,,,,,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
Cabal Ritual,torment,,,,,1,Non-foil,Near Mint,Regular,Normal,Normal,Normal,English,,No,Yes,,,No,No,No
